grad,fls1,fls2,fls3,pout
0.1,0.1,0.5,0.5,-208.722122613
0.104119665629,0.14,0.5085672467,0.277837997212,-241.586049328
0.129718205295,0.128191345764,0.389745748491,0.434737476013,-213.150315189
0.134149530513,0.07,0.619460437531,0.60862021696,-235.563136728
0.172655509695,0.122071126909,0.493399015206,0.536768292038,-198.939448642
0.2,0.130383338145,0.560447370016,0.469102646721,-204.619204583
0.186758502372,0.07,0.491198442301,0.267593280998,-272.135070492
0.135846351714,0.0782603039685,0.268495512507,0.433149641906,-257.88119537
0.132609538288,0.0773001579996,0.624635510839,0.618374748985,-215.751779986
0.186904739391,0.11303835452,0.621229558542,0.593810125431,-200.764395893
0.2,0.110263279197,0.512566870421,0.742680233629,-184.310169753
0.2,0.14,0.442672821408,0.696363378588,-211.218507749
0.197549960687,0.118465992283,0.542478270475,0.631604721107,-190.973783498
0.2,0.14,0.507634798685,0.680846127873,-223.719262391
0.172023182788,0.14,0.664083454837,0.837165115111,-248.557607016
0.2,0.07,0.623907482138,0.632656725477,-263.782582445
0.137922080137,0.104547103572,0.523933307331,0.828708284553,-214.260472902
0.2,0.07,0.653046935616,0.680255198073,-261.761391689
0.121425430089,0.14,0.502176990933,0.768739458855,-252.029690691
0.109737927384,0.129206288069,0.52652917456,0.499945866309,-245.892101272
0.124277014381,0.110527055375,0.655297549838,0.75099217713,-238.808190048
0.2,0.14,0.502088993776,0.832732906179,-227.713579229
0.197347163401,0.14,0.464660060922,0.821327117851,-222.731668523
0.146272852723,0.115028797506,0.611474437975,0.844059063302,-234.636649252
0.2,0.0984255586356,0.421934680644,0.709671322231,-233.326192865
0.2,0.14,0.510230320818,0.820147226646,-228.565543621
0.165296111068,0.07,0.447620667444,0.707381416126,-262.336062649
0.115314375559,0.14,0.470154414526,0.688924960663,-250.849909162
0.2,0.0738306534422,0.575496732604,0.659847624049,-260.88497533
0.2,0.101248179444,0.532001295158,0.564561063407,-209.270251933
0.18429367569,0.14,0.53633344502,0.649795549194,-233.24749777
0.2,0.14,0.459877960147,0.702029859248,-215.334800744
0.2,0.14,0.709759893574,0.622504993849,-239.963517765
0.140389327142,0.0832643267968,0.343813976654,0.680932686639,-242.577353503
0.101881088816,0.07,0.455875372915,0.663162484299,-227.44497484
0.15272201767,0.07,0.705489519613,0.761534093983,-239.59276566
0.2,0.07,0.496720842661,0.681999365273,-271.063038891
0.169746774819,0.14,0.598637285552,0.761342372331,-244.978279252
0.189317136128,0.0851612150352,0.493000213012,0.734036834964,-242.064962399
0.2,0.14,0.603781625821,0.797357189844,-236.687543359
0.140816325421,0.07,0.463436970649,0.791422442425,-249.205249767
0.2,0.0757663163113,0.415983663074,0.86864993348,-268.00914648
0.0711198824173,0.14,0.410322071832,0.83161596871,-259.600422461
0.195751856775,0.131026924139,0.524622147795,0.9,-225.863736068
0.2,0.109393016925,0.564206364613,0.797628055793,-192.718683732
0.2,0.0907027350156,0.496911198422,0.646820145012,-238.312584892
0.13290524976,0.100594943311,0.461706649121,0.828197582038,-198.203504056
0.2,0.14,0.398724051434,0.812099358982,-206.731674577
0.189710363015,0.14,0.582171392383,0.755273621204,-237.784777045
0.165904164252,0.107746006586,0.492749442538,0.53883580221,-159.818213167
