simulation,grad,fls1,fls2,fls3,pointvalue1,pointvalue2,pointvalue3,pointvalue4,pointvalue5,pointvalue6,pointvalue7,pointvalue8,pointvalue9,pointvalue10,pointvalue11,pointvalue12,pointvalue13,pointvalue14,pointvalue15,pointvalue16,pointvalue17,pointvalue18,pointvalue19,pointvalue20,pointvalue21,pointvalue22,pointvalue23,pointvalue24,pointvalue25,pointvalue26,pointvalue27,pointvalue28,pointvalue29,pointvalue30,pointvalue31,pointvalue32,pointvalue33,pointvalue34,pointvalue35,pointvalue36,pointvalue37,pointvalue38,pointvalue39,pointvalue40,pointvalue41,pointvalue42,pointvalue43,pointvalue44
11,0.1692824251,0.0910933267,0.1291528899,0.7216748722,22.0593098575,22.6602842731,23.2893407128,23.9561990747,24.5412276998,25.1101620803,25.722532846,26.3814468272,27.060620763,27.7644346498,28.730343146,29.5016096587,39.9200980584,50.9224139328,63.2006107877,76.1108863679,89.6674113528,103.6670589526,118.0595949528,132.4818121101,146.9766896275,160.3136242391,164.9693706626,187.9169336455,210.2760526843,231.3260487062,251.0610663669,268.4443321943,284.2942006196,298.6685955636,312.5162601477,325.9499229921,337.2420955217,340.2369589377,349.5234084676,358.4843569857,367.0520781357,375.818405728,384.9492796804,394.9366628491,405.1159848059,414.9716674868,424.3865230847,433.416974209
12,0.0906420061,0.1090711984,0.2773881228,0.4679751737,22.0592327848,22.653178713,23.2625557972,23.8965949406,24.4421876651,24.9649396023,25.5191944126,26.1076811357,26.7061441256,27.3185229278,28.1517902177,28.7052658441,36.0774734248,43.7239833063,52.1500026641,60.9209493966,70.0302142608,79.33159117,88.8206932382,98.3063496828,107.8548376616,116.6587580932,118.4819415952,127.3287668567,136.0555125945,144.3884182138,152.5630550348,160.577360118,168.6530702966,176.3154039245,183.8288449946,191.1732487653,197.3732926786,200.3866540875,210.0442791724,219.0749691743,227.5145548882,235.7858612941,243.3095173351,250.4236371842,257.0088417041,262.9641248498,268.3469876141,273.3053801191
13,0.1659601146,0.1190271856,0.3552941567,0.6318642092,22.0593066014,22.6599840855,23.2882091343,23.9536809873,24.5370435696,25.1040268869,25.7139424362,26.369881087,27.045645239,27.7455962808,28.7059001283,29.2882740714,37.0506148884,45.1076665396,54.0342218724,63.413831216,73.2803096236,83.5063321809,94.1126828121,104.903743833,115.9622237411,126.3133280247,127.9647259306,135.9510953116,143.9450748525,151.6916489284,159.4092014994,167.0882818994,174.9471422563,182.5214922607,190.0701113505,197.6080815716,204.0343162722,206.8063332771,215.8132731023,224.6308165974,233.284560171,242.1371605823,250.4579370932,258.5965378027,266.5451531064,274.301069152,281.8660482684,289.2424778895
14,0.0498332711,0.0904656588,0.2590339175,0.5026049452,22.0591927896,22.6494914372,23.2486563478,23.8656646716,24.3907929933,24.8895795561,25.4136763554,25.9656163847,26.5221961847,27.0871267385,27.8515632746,28.4678056647,36.7322979832,45.3761489739,54.8712693506,64.6362946615,74.60566865,84.5852539837,94.5356467799,104.2347702254,113.7468133897,122.3218987259,124.2217600752,133.4050760457,142.294833477,150.6326904263,158.6660252207,166.4087411949,174.0672366024,181.1650964713,187.903436999,194.1516161427,199.1354466161,201.0699196643,206.9283694493,212.1962331835,217.1144694595,221.9623876164,226.2952865877,230.2507615582,233.9903816204,237.8585254464,241.9735514643,246.191680055
15,0.0035662651,0.1041909228,0.4914530575,0.3735617999,22.059147445,22.6453109789,23.2328978121,23.8305974013,24.3325241548,24.804139914,25.2940449924,25.8045501158,26.3136447438,26.8247807266,27.5111801038,27.9902583657,34.3378714659,40.8757581336,47.9885245657,55.2569580579,62.6244301591,69.9321475275,77.1529703307,84.1407335914,90.9592748646,97.0843114619,97.7613264539,100.9400481002,104.0790795852,107.0774722817,110.0241711421,112.9204423721,115.8494961124,118.6393824221,121.390115254,124.1048113352,126.4113012626,128.0216125714,133.3483777327,138.4624089496,143.3901119483,148.3423592338,152.9199675649,157.3250877233,161.5538992007,165.592403916,169.4068142709,172.9506926544
16,0.1235882512,0.0989439115,0.451001268,0.2542581897,22.0592650742,22.6561555731,23.2737772836,23.9215659725,24.4836802881,25.0257802668,25.6043826396,26.2223747205,26.8546513986,27.5053367452,28.3941733288,29.0462053963,37.7936880132,46.9513470557,57.1049741874,67.7187143118,78.7874072217,90.142074293,101.7678493665,113.4056777021,125.1119273767,135.8902055398,137.2209211445,143.5498733221,149.8424369513,155.9011802311,161.9035995404,167.8490536303,173.9094302012,179.7296528771,185.5131439509,191.271644653,196.1758684286,200.0977122009,213.2610923476,226.0109362042,238.3172679145,250.6084438761,261.7797777271,272.0653460243,281.3911871315,290.0804423874,298.3965501856,306.3873098365
17,0.0466065803,0.0939856936,0.559515533,0.5056968141,22.0591896272,22.6491998893,23.2475573374,23.8632190575,24.3867292869,24.8836209403,25.4053331869,25.9543835192,26.5076516726,27.0688305583,27.8278245821,28.4159971093,36.2851394221,44.4917188068,53.5000871785,62.7707446076,72.2446141047,81.7390140069,91.2223644048,100.4883544697,109.6002906074,117.8339207924,118.6395304943,122.4080671821,126.1420311569,129.7228395827,133.2572542061,136.7466093287,140.2924955946,143.6871681519,147.0513934245,150.3917899891,153.2315467201,154.7591564303,159.7744124767,164.6546702706,169.4222375115,174.2849861847,178.8503709998,183.317342619,187.6854461953,191.9537288658,196.1209106467,200.1845686332
18,0.0326211756,0.0769300972,0.66578469,0.5716867996,22.0591759207,22.6479362372,23.2427939105,23.852619064,24.3691160165,24.8577945886,25.3691714992,25.9056970546,26.444611581,26.9895296599,27.7249359333,28.4279502393,37.9323076277,47.954420334,58.9026164499,70.0051519365,81.1410006313,92.0536293626,102.6736707332,112.7764312909,122.4610988958,131.0247238333,131.7245163609,134.9546995307,138.1421290819,141.1870328602,144.1817030981,147.1291710508,150.1159610174,152.9684435383,155.7897277423,158.5856662907,160.9585996402,162.0843208401,165.7545084676,169.3324264061,172.8348420811,176.4157169786,179.7864356401,183.094287898,186.339884719,189.523446308,192.6448685737,195.703508233
19,0.182121305,0.0895216052,0.1842178328,0.2024479298,22.0593224404,22.6614443309,23.2937136334,23.9659300798,24.5573970326,25.1338711852,25.7557299951,26.4261419709,27.118492822,27.837234453,28.8247982279,29.627725649,40.490572924,51.9841921736,64.8307823006,78.3608533294,92.5957339534,107.3203808278,122.4706460101,137.6530777886,152.9083803014,166.9419273809,171.0868678441,191.3988671095,211.1206626112,229.6627437398,247.5388216793,264.5678142144,280.5973048659,294.2569713727,306.3169337136,317.2293369465,325.9089535854,331.9974399529,351.6445291895,373.0390536181,403.8807161603,433.1155962305,457.634336128,478.8061782248,497.1004683723,513.0836268128,527.1768356104,539.675589691
20,0.1750052292,0.0899528993,0.7443564218,0.7632085147,22.0593154662,22.6608013574,23.291289899,23.9605365743,24.5484350205,25.12073018,25.7373301478,26.4013692467,27.0864166626,27.7968844441,28.7724456297,29.5617066243,40.2333085954,51.5160583047,64.1170330688,77.3759372919,91.3097039266,105.7072349653,120.5090242246,135.3345883567,150.2256856624,163.9186246097,164.9437014609,169.679080474,174.4106075901,178.9887991417,183.5510487165,188.0971976271,192.762683335,197.2726721275,201.7849837933,206.3147120877,210.1683623305,211.5168902028,215.8379382521,220.112069112,224.3564081825,228.760996954,232.9662751498,237.1522911865,241.3190002448,245.4663998153,249.5945365928,253.7031028081
21,0.1537410379,0.0870681615,0.6215330137,0.2288021374,22.0592946259,22.65888003,23.2840473185,23.9444197513,24.5216548192,25.0814623505,25.6823478955,26.3273436232,26.9905669819,27.6763109235,28.6160067162,29.4029605464,40.0502710737,51.3142664399,63.8709993468,77.0372843613,90.8119298092,104.965787568,119.4204740427,133.7987891085,148.1493195826,161.2799966161,162.4509187472,167.9202539763,173.3677723036,178.6227261987,183.8418769843,189.0257333785,194.3268876697,199.4346247904,204.5280173118,209.6212851328,213.956706628,218.1192168898,232.1814845391,245.8221605868,259.1025714801,272.5764370439,285.0778957279,296.8681666104,307.5835810741,317.2547372539,326.2262076142,334.7780830481
22,0.1096260268,0.101373002,0.7942425462,0.7895885019,22.0592513904,22.6548940154,23.2690217519,23.910983548,24.466096211,24.9999967213,25.5682808884,26.1737689518,26.7917157934,27.4261672849,28.2914541834,28.9107500734,37.2012612848,45.8566301549,55.4328135928,65.4240669285,75.821122277,86.4613869819,97.3339128445,108.2041079751,119.1319094812,129.1906825736,129.8973057601,133.1446382993,136.3919355994,139.5353059277,142.6694520015,145.7939996003,149.0025368896,152.1047843438,155.2096560381,158.3276724423,160.9799071859,161.8750877872,164.734040628,167.5638320833,170.3757015798,173.2962680851,176.085808215,178.8642700995,181.6315827053,184.3876929425,187.1325648714,189.8659791777
23,0.0269185515,0.1065558517,0.3750411174,0.3580163212,22.0591703317,22.6474209762,23.2408515976,23.8482968595,24.3619341106,24.8472637546,25.3544263763,25.8858448864,26.4189066441,26.9571942915,27.6829813184,28.177641658,34.7392697718,41.5081699127,48.9013214724,56.5036904107,64.2754813258,72.063524548,79.8467147188,87.4666914435,94.9865926853,101.8069851834,102.8107856289,107.5947257928,112.3121796799,116.8137051702,121.2304156328,125.563439965,129.9353922987,134.0907546013,138.1781858052,142.2005190983,145.614348626,147.8286786157,155.1183324783,162.0773248798,168.7073953362,175.2632568773,181.2227852928,186.8523655023,192.0787682227,196.8175497305,201.0856828079,204.9829747211
24,0.1705596438,0.0860990954,0.4383227218,0.7828836991,22.0593111092,22.6603996762,23.2897757333,23.9571671203,24.5428362337,25.1125206748,25.7258353162,26.3858931241,27.0663779066,27.7716768133,28.7397403842,29.5598567302,40.6718843855,52.4490181564,65.6037496648,79.4309824637,93.9399187515,108.8892168073,124.1867665456,139.4239265853,154.6481062346,168.5923248882,170.3792021376,178.8900706189,187.3208694522,195.4132522451,203.4055744783,211.2995116454,219.3223519803,227.0062826615,234.6210835271,242.1785307044,248.6044880163,250.8205908852,257.8837571479,264.7907434027,271.5622477563,278.4848392651,284.9911648298,291.3606254389,297.5930242096,303.6916636216,309.6625249227,315.511845782
25,0.0424264673,0.0919133988,0.2462594563,0.6142595829,22.0591855305,22.6488221949,23.2461335915,23.8600508138,24.3814648371,24.8759016736,25.3945247803,25.9398315682,26.4888095502,27.0451282255,27.7970718253,28.3934165652,36.3791107105,44.7158827108,53.8616232983,63.2562739474,72.8330422568,82.4033244597,91.9318412419,101.2103336198,110.3034429863,118.4961392394,120.4026826501,129.6261695977,138.5376720821,146.8781441377,154.8946300551,162.6013605482,170.1976637746,177.1951571707,183.7757577024,189.7890331393,194.5091109877,196.1648966401,201.1825226985,205.7506381283,210.0468437048,214.328892924,218.2610302313,221.9847947425,225.4704946532,228.7845197288,232.0877403944,235.4800460312
26,0.14610369,0.0821398172,0.4816671276,0.6707383888,22.0592871408,22.658189957,23.2814460389,23.9386311567,24.512036315,25.0673587307,25.662600209,26.3007562291,26.9561411559,27.6330051658,28.5598201079,29.3852101652,40.5834351871,52.4666258425,65.7070824412,79.5590873842,94.0052248309,108.7707018569,123.7359501776,138.5007415251,153.1301066477,166.4434405818,167.9859104427,175.2896651187,182.5194908028,189.45376945,196.2982070603,203.0556216922,209.9217503336,216.4971397184,223.0142165647,229.485023004,234.9865377205,237.221438279,244.4451910212,251.4958615941,258.3965032962,265.4388807426,272.0467627711,278.5041117504,284.8106393096,290.9695537184,296.9861599441,302.8642968134
27,0.1234365983,0.0729370963,0.7456666945,0.5790088466,22.0592649256,22.6561418705,23.2737256306,23.9214510298,24.4834892959,25.0255002148,25.6039905147,26.2218467814,26.8539678137,27.5044768337,28.3930618219,29.2911442978,41.5428301464,54.6125806738,69.1199754548,84.1757383152,99.6914970389,115.2732706882,130.7463316686,145.7321105449,160.3545201404,173.502368825,174.4760656657,178.958732253,183.4118852102,187.6965152182,191.9417938807,196.1498231594,200.4451413225,204.5770859244,208.6922054888,212.8024283762,216.2955605651,217.9360934654,223.3003342653,228.5650806614,233.7534080164,239.0945856133,244.157042084,249.1592601169,254.1019911289,258.9855799344,263.8097999566,268.5732041596
28,0.1237782837,0.104774975,0.4187633414,0.2622242977,22.0592652605,22.6561727435,23.2738420086,23.9217100043,24.4839196157,25.0261311931,25.6048740015,26.2230362681,26.8555079821,27.5064142791,28.3955713724,29.0105489589,37.2369459033,45.8169955204,55.3182131577,65.2545567533,75.628422231,86.2856331542,97.2241766379,108.2150406973,119.3215447093,129.5900232969,130.9601965311,137.5066039945,144.0229292448,150.3036267414,156.5310246305,162.7030053864,168.997188859,175.0441463944,181.0543134105,187.0394219605,192.1378586725,196.1301539064,209.517747443,222.480273765,234.9752807249,247.4336481664,258.7518536967,269.1831822088,278.6200683932,287.362759169,295.6987447181,303.6982983478
29,0.0557020532,0.0898049437,0.1548896008,0.7192670918,22.0591985414,22.6500217114,23.2506552542,23.8701128126,24.3981841591,24.9004172282,25.4288511086,25.9860469877,26.5486500891,27.1204042661,27.8947395723,28.5236684316,36.9656727407,45.8048949712,55.5244052359,65.5314460861,75.7627563677,86.0210432147,96.2642033115,106.2604158099,116.0733961803,124.9277447078,127.7430855073,141.4260249462,154.5171607696,166.6350822671,178.0775159985,188.4570496536,197.6500761167,205.4099829081,212.5566926707,219.3740494106,224.9646660138,226.5381059919,231.4908703808,236.3200499673,241.0000914603,245.6838112055,250.1388842775,254.8330057852,259.8645431363,265.0592932152,270.1656089106,275.0706563866
30,0.0041901787,0.099721692,0.1592937775,0.1665439066,22.0591480564,22.6453673527,23.233110317,23.8310702857,24.3333099138,24.8052920731,25.295658229,25.8067221048,26.3164570733,26.8283184795,27.5157699279,28.0176117127,34.6833139268,41.5704924571,49.068052109,56.7185953881,64.4535892163,72.1047707069,79.6434461495,86.9171367669,93.9921071394,100.3290548614,102.3820452279,112.3122883545,121.7557014081,130.4295863872,138.5875064889,146.1512257323,153.0406167983,158.7477569844,163.7149740443,168.1925169507,171.755533184,174.8403241596,184.6596691121,197.9912456291,212.1956538224,224.6023108517,234.3605183519,242.387726121,249.084087894,254.7138463366,259.4765663989,263.5293907636
31,0.0408562989,0.1070486762,0.8445298592,0.5255222203,22.0591839916,22.6486803223,23.2455987924,23.8588607321,24.3794873613,24.8730020993,25.3904648379,25.934365445,26.4817319177,27.0362249609,27.7855203391,28.2935685258,35.0398700804,42.0089602952,49.6377283328,57.5065135723,65.582960128,73.7153289432,81.8859603335,89.9285524704,97.9065806996,105.1739243168,105.6516836976,107.8300270381,110.0043831787,112.1039466997,114.1924606555,116.2699555751,118.3987986676,120.4519794876,122.5022253704,124.5557180177,126.3034533772,127.1804209476,130.0514518571,132.877680134,135.6702363132,138.5529704343,141.2905584303,144.0011644882,146.6848422238,149.341711199,151.9719541301,154.5756816876
32,0.198353831,0.1015986159,0.3225907576,0.6234246616,22.0593383493,22.6629110218,23.2992424295,23.9782332397,24.5778403359,25.1638472162,25.7977020044,26.4826511902,27.1916619542,27.9292771161,28.9442184242,29.6677468685,39.4008581539,49.6266589667,61.0414489482,73.0884800283,85.8045651074,99.0295517091,112.7676511183,126.7150413875,140.9276281404,154.1512441766,156.5051529911,167.9052575477,179.2176737868,190.0911262615,200.8365019103,211.4491285863,222.2279313375,232.53913636,242.7359780931,252.8152979213,261.3814212553,265.0212214071,276.7568081437,288.046916191,298.9040552176,309.7730855252,319.7940727187,329.4492770156,338.7727819107,347.7775998173,356.4395180426,364.6948385008
33,0.1966320227,0.0790260473,0.6671576938,0.6403403494,22.0593366618,22.6627554477,23.2986559818,23.9769282252,24.5756718841,25.1606676138,25.7932499706,26.4766571727,27.1839007949,27.9195140131,28.9315552274,29.8699906719,42.6591376559,56.3067384815,71.6051805569,87.736033761,104.7071608266,122.1710316299,139.9404265693,157.5159578106,174.9747708709,190.9069460078,192.2332456448,198.4027084267,204.547522392,210.4761055673,216.3657086386,222.2173016444,228.2035205165,233.9741976734,239.7318540234,245.4936196647,250.3944369325,252.4649942599,259.191412212,265.8112063901,272.351886407,279.1024341493,285.5154755003,291.8656241943,298.152420235,304.3751191716,310.5326390461,316.6227806979
34,0.0778482527,0.0920144883,0.4010222371,0.341147107,22.0592202461,22.6520227326,23.2581982466,23.8868981383,24.4260751648,24.9413138308,25.4861139458,26.0631430879,26.6484754771,27.2459790035,28.0576676392,28.7001183391,37.3263290371,46.3641329913,56.3358080707,66.6616341747,77.2978236796,88.053420548,98.8908401585,109.5610446715,120.1226261365,129.7176830865,131.0504623265,137.3992219448,143.6590532739,149.6367990715,155.5086278699,161.2776752613,167.108985211,172.6634856725,178.1392173846,183.5412240123,188.1286115918,191.0486086217,200.6766042141,209.8591441614,218.570764909,227.1619305282,234.9645136491,242.2453051453,248.8546096937,254.8459050489,260.4254951565,265.7293293754
35,0.0915780865,0.0786571062,0.4810546648,0.135142813,22.0592337022,22.6532632926,23.262874626,23.8973044264,24.4433665682,24.9666682289,25.5216148107,26.1109398505,26.7103635669,27.3238307482,28.1586787819,28.9375681229,39.49782427,50.6850496481,63.0512685545,75.8253430893,88.9365988245,102.1003591614,115.205369087,127.9275764801,140.3551160179,151.5313776411,152.8208461103,158.9103133179,164.9103495336,170.638635241,176.2667076619,181.7997381522,187.3982281089,192.7383435968,198.0114251181,203.2250376295,207.6602609876,212.6822191875,229.5095748285,244.9198334901,259.2644922093,274.5151245838,288.3092822837,301.6557730738,315.0604773984,327.6850731922,339.1051103547,349.231342297
36,0.0925420557,0.0741300147,0.2609104787,0.5297128483,22.059234647,22.6533503921,23.2632029538,23.8980350501,24.4445805947,24.9684483567,25.5241073203,26.1142956529,26.7147087189,27.3292967056,28.1657716431,28.9968885276,40.3046924958,52.3258820344,65.6039610864,79.2868333105,93.2775597167,107.2358646827,121.0260450773,134.3213513788,147.2355370549,158.7987588091,161.287570666,173.3276589199,184.9324115666,195.782772974,206.2092415319,216.219181348,225.9735580467,234.6794386092,242.520726886,249.4038904043,254.6492745717,256.3586937362,261.6530969607,266.6666288158,271.4775582344,276.2321064568,280.6102000552,285.3159453176,290.9530613401,297.4023604468,304.0543214471,310.5397768946
37,0.1038030829,0.0965786211,0.1088704917,0.8464553866,22.0592456835,22.6543678829,23.2670384581,23.9065701492,24.4587627739,24.989243697,25.5532246578,26.1534979223,26.7654685075,27.3931496718,28.248615344,28.8923058292,37.5279380136,46.5679422408,56.571578767,66.9921230163,77.8098539798,88.8485791646,100.0847657841,111.2646884998,122.444859092,132.6919985578,136.5151675588,155.3969205118,173.8525541567,191.2014935721,207.1518024393,221.3744873464,234.9529911001,247.481149433,259.5331122436,271.1554113948,280.999552593,283.448659363,290.8621194958,297.9442151175,304.7092345397,311.5016454232,318.1126931998,325.0080670921,331.9834630871,338.7778971332,345.2845598528,351.5158961188
38,0.0864304335,0.1057276008,0.590937332,0.2326140117,22.0592286572,22.6527981761,23.2611213361,23.8934028526,24.436883595,24.9571622403,25.5083046617,26.0930196664,26.687160197,27.2946422107,28.120805925,28.6874267551,36.2442490986,44.0951831807,52.7482653988,61.7470118183,71.0775514262,80.5867077228,90.2658504942,99.9153080751,109.5990924347,118.5034360424,119.3372671292,123.2444467656,127.1427510488,130.9078661877,134.6515056452,138.3729601914,142.1816387635,145.85277125,149.5147784043,153.1776364379,156.2953915646,159.5166795621,170.3914924065,180.9100796338,191.1199496574,201.4593349374,211.0878417114,220.3680778517,229.1178592727,237.1122451543,244.288278625,250.7707290971
39,0.1303894336,0.0966168911,0.4127856398,0.7768846019,22.0592717398,22.6567700943,23.2760937653,23.92672081,24.4922457223,25.0383397696,25.6219682754,26.2460512271,26.8853081561,27.5439012262,28.4442093371,29.1209965911,38.2156016058,47.7566285264,58.3484348071,69.4288272274,80.9935644933,92.8662927363,105.0253583215,117.1914199797,129.4175996646,140.6646964405,142.1909515431,149.4792210291,156.7098583907,163.657803114,170.5261075874,177.314674748,184.2184722649,190.833724688,197.39208426,203.9040596317,209.4431466965,211.358191688,217.4612921271,223.4359137644,229.3013719191,235.30757765,240.961836003,246.5053111336,251.9355164243,257.2523831752,262.4582505475,267.5565950041
40,0.0244108402,0.0913728738,0.8084980746,0.1888397877,22.059167874,22.6471943918,23.2399974715,23.8463961834,24.3587758897,24.8426328529,25.347942254,25.8771149568,26.4076029775,26.9429749131,27.6645320158,28.2405681046,35.9447874531,43.973953747,52.7529951493,61.7261561685,70.8135627361,79.8264983597,88.7302741205,97.3362781728,105.7124868724,113.2147476089,113.7237756036,116.0435905908,118.3478379826,120.5616323392,122.7520670256,124.9200167889,127.1297714102,129.2506044599,131.3582493952,133.4576885645,135.2444581153,137.4667952483,144.9590828826,152.1331965639,159.0329677568,165.9693004042,172.4027083149,178.5800605075,184.3514207968,189.5647235521,194.218606343,198.4350105193
41,0.0151433135,0.1017777268,0.6187813852,0.8495535476,22.0591587912,22.6463570239,23.2368409532,23.8393720232,24.3471043323,24.8255188394,25.3239794575,25.8448525289,26.3658290178,26.8904256156,27.5963514964,28.1008258625,34.8014135971,41.7250448862,49.2767172496,57.0105468336,64.8693415499,72.6894681585,80.4448827379,87.9772413303,95.3511572697,101.992443099,102.5779124242,105.2965453903,107.9929083446,110.5797435013,113.1345249555,115.6580116479,118.2239678164,120.6809861723,123.116538126,125.5352279167,127.5927633154,128.2332029497,130.2532927055,132.2387656166,134.197667315,136.2172484648,138.1323365928,140.0263270874,141.8994729695,143.7520438242,145.5843234101,147.3965426164
42,0.0289842369,0.0847923365,0.7496764303,0.8348731133,22.0591723562,22.6476076214,23.2415551697,23.8498625097,24.3645356424,24.8510783826,25.3597675637,25.8930360202,26.4282178507,26.9689072671,27.6981784665,28.3275528804,36.7847983083,45.6464026012,55.339251911,65.2196907002,75.1921463767,85.04425896,94.7272973093,104.0307638025,113.0306043861,121.0493045978,121.6334097287,124.309064678,126.9603998263,129.5023698503,132.0118787052,134.4904362648,137.0111216811,139.4258467115,141.8211403563,144.2023687404,146.2261131292,146.8690234499,148.9035473,150.9049705218,152.8816247384,154.9218322004,156.8590542877,158.7775201994,160.677590529,162.5596317221,164.4240178546,166.2710426938
43,0.0792557379,0.1126246354,0.7883382916,0.2384131627,22.0592216255,22.652149906,23.2586776359,23.8879649172,24.4278477569,24.943912984,25.4897532428,26.0680428732,26.6548198054,27.2539598125,28.0680223537,28.5914349601,35.5461658534,42.736449343,50.6416164616,58.8572256767,67.3774606118,76.0626634591,84.9079823747,93.7385764511,102.6215403808,110.8093854995,111.3893304066,114.0572499392,116.727097981,119.313099725,121.8932931392,124.46711073,127.1118503711,129.6699378257,132.2311916257,134.8042918271,136.9931778891,139.53501384,148.1694097831,156.5732836643,164.7804010232,173.143338961,180.9857913361,188.6488785262,196.1326407588,203.4298897672,210.5112832462,217.3128127592
44,0.1312981869,0.0946277127,0.5556432681,0.6245128224,22.0592726305,22.6568522048,23.2764032866,23.9274095838,24.4933902097,25.0400179322,25.6243180147,26.24921481,26.8894044191,27.5490540951,28.4508951419,29.1435617793,38.4622459863,48.2523396147,59.125818956,70.4997637275,82.3680331654,94.5469456803,107.0071678284,119.4555055789,131.9430996501,143.4134357921,144.5575578589,149.9385423202,155.298010288,160.4673708623,165.5998665639,170.695389767,175.9031699824,180.9176615343,185.9143769868,190.906399644,195.1543756291,196.9880983083,202.9444946431,208.794982914,214.5633017231,220.5027013777,226.1307648384,231.6885604549,237.1747146598,242.5875914184,247.9253872477,253.1856922179
45,0.1810816141,0.1064183632,0.5952024287,0.2162859,22.0593214214,22.6613503895,23.2933595149,23.9651420642,24.5560876421,25.1319512248,25.7530416941,26.4225225636,27.1138063498,27.831339134,28.8171478521,29.4874063216,38.4757687209,47.8809201045,58.3506727806,69.377770804,80.993037993,93.0475199495,105.5544996726,118.2551556369,131.2159781651,143.2941626427,144.4281814769,149.7614525639,155.1035179604,160.2857028775,165.4611164023,170.6273448493,175.9371035958,181.0770382455,186.2251667845,191.3985337338,195.8025939986,200.5882581712,216.8464099653,232.6735671589,248.1311819377,263.87649057,278.6048728161,292.780960471,306.0015846753,317.953223443,328.7160435093,338.6085889612
46,0.0646954563,0.1072449321,0.685753575,0.6554180641,22.0592073555,22.6508343109,23.253718406,23.8769292057,24.4095104843,24.9170250274,25.4521051111,26.0173551275,26.5891884197,27.1713992116,27.960903301,28.494835757,35.5986096298,42.9557081535,51.0379649591,59.4130726937,68.059849704,76.8276577629,85.7044522143,94.5093667234,103.3066557975,111.3678495988,112.0185055657,115.0360032138,118.047815041,120.957149594,123.851159034,126.7295189125,129.677595963,132.5206771793,135.3586318219,138.1996571338,140.6174962478,141.594448836,144.7515866505,147.8637929405,150.9434095408,154.1274004017,157.1558607831,160.1591785421,163.1373604823,166.0904633389,169.0185947636,171.9217252105
47,0.1886771609,0.100539989,0.4179851575,0.5313380423,22.0593288656,22.6620366856,23.295946557,23.9708989764,24.5656535018,25.1459776522,25.7726812968,26.4489644385,27.148043755,27.8744078687,28.8730278603,29.5927492511,39.2751385181,49.4483021111,60.7979461597,72.763818252,85.3772360862,98.4747918044,112.0554818646,125.815230313,139.8081340189,152.8054705357,154.5547901398,162.9282079256,171.2716312132,179.3241281147,187.3196011083,195.2550601508,203.3593408881,211.1570323379,218.917969265,226.6581139007,233.2535633993,236.6488856203,247.8140293621,258.6950038413,269.3220920054,280.1335430195,290.2371922048,300.0625064983,309.605403656,318.8669055354,327.8422082712,336.505537276
48,0.0755023121,0.0877346031,0.4917146829,0.1156386104,22.0592179469,22.651810765,23.2573992195,23.8851200735,24.4231206784,24.9369816653,25.4800481097,26.0549763199,26.637901002,27.2326769071,28.0404090067,28.712368171,37.7569943096,47.2601834361,57.7436794499,68.5774078878,79.7067453749,90.9221556477,102.1700332367,113.1840286177,124.0263608883,133.8324669675,134.931994251,140.1167376547,145.241686182,150.1475275334,154.9802144214,159.7423970425,164.5720221964,169.1879314176,173.7545212707,178.2796123127,182.1317541445,187.2382605007,204.5630866266,220.7346381206,235.8414529065,251.6189730074,265.751133692,279.2580419644,292.3553999518,304.4150356996,315.2497887626,324.8637323787
49,0.0991907048,0.1062779657,0.4579962383,0.7706788551,22.0592411631,22.6539511312,23.2654674827,23.9030742777,24.4529539279,24.9807261816,25.5412985547,26.1374411553,26.7446779229,27.3669962828,28.2146823328,28.792793792,36.507886983,44.5300772688,53.3850767571,62.6130214874,72.2068432553,82.0149016642,92.0320087205,102.0520487902,112.1396304616,121.4393456869,122.5667687786,127.9255419733,133.2621383043,138.407389064,143.5115380557,148.5730749151,153.7383913884,158.7038779144,163.6428046214,168.5659907067,172.7555300594,174.2096750637,178.8502820283,183.413520224,187.9171453424,192.5589087696,196.9602489987,201.309315225,205.6044750098,209.8440699249,214.0265478525,218.1502081302
50,0.0214806604,0.0907256209,0.4905887027,0.3861810079,22.0591650022,22.6469296352,23.2389994526,23.8441753048,24.3550856104,24.8372217936,25.3403657663,25.8669143156,26.3943950077,26.9263600281,27.6429748828,28.2193637486,35.9293539605,43.965414611,52.7467892209,61.7117668518,70.7767399863,79.7513943664,88.6003691992,97.1370152473,105.4303487955,112.8463825204,113.6700200458,117.5374538089,121.344610727,124.9718324142,128.527465286,132.0146173605,135.5338734182,138.8806390026,142.1761440024,145.4246738981,148.1808420748,149.9875550478,155.9552116593,161.6862978901,167.2049896693,172.738701835,177.8360828087,182.722502026,187.3880228998,191.79238702,195.8729493859,199.5893525254
51,0.1782515589,0.0859665541,0.8001718579,0.6901929821,22.0593186478,22.6610946797,23.2923955985,23.9629970732,24.5525234601,25.1267250621,25.7457240959,26.4126704797,27.1010496981,27.8152919817,28.7963293808,29.6287009935,40.911873117,52.8774485183,66.2537972838,80.3297848963,95.1198939299,110.3796313762,126.0130447537,141.599413739,157.1850489427,171.4701618896,172.4658445062,177.0384843731,181.6067901118,186.026312818,190.430082773,194.818206637,199.3217131155,203.6752827372,208.0315408632,212.4052970078,216.125696448,217.5648531119,222.2128665402,226.8071811292,231.3663631398,236.0941630314,240.6053463327,245.0930472997,249.5573444733,253.9983818238,258.4163815505,262.811191972
